trip10%,trip1%,passenger10%,passenger1%
111379,,111020,
111380,,111021,
111381,,111040,
111382,,111048,
111383,,111064,
111418,,111074,
111419,,111082,
111426,,111086,
111427,,111094,
111452,,111109,
111453,,111121,
111454,,111161,
111458,,111162,
111512,,111170,
111513,,111174,
111514,,111184,
111515,,111196,
111522,,111197,
111523,,111202,
111524,,111223,
111540,,111237,
111541,,111241,
111550,,111243,
111581,,111249,
111582,,111250,
111591,,111273,
111609,,111281,
111610,,111295,
111631,,111304,
111654,,111305,
111655,,111318,
111675,,111320,
111676,,111329,
111688,,111331,
111689,,111345,
111710,,111354,
111716,,111381,
111717,,111388,
111725,,111390,
111726,,111421,
111727,,111436,
111791,,111437,
111792,,111441,
111849,,111452,
111857,,111456,
111858,,111460,
111879,,111464,
111880,,111468,
111898,,111472,
111899,,111473,
111953,,111476,
111954,,111478,
111963,,111485,
111968,,111490,
111969,,111522,
111981,,111526,
112001,,111533,
112037,,111536,
112038,,111566,
112080,,111570,
112081,,111575,
112086,,111576,
112087,,111590,
112088,,111600,
112096,,111614,
112097,,111621,
112098,,111629,
112121,,111668,
112122,,111676,
112134,,111678,
112135,,111684,
112136,,111691,
112230,,111717,
112231,,111724,
112241,,111735,
112256,,111736,
112257,,111740,
112258,,111742,
112259,,111745,
112294,,111755,
112295,,111761,
112333,,111769,
112334,,111771,
112338,,111777,
112339,,111786,
112340,,111795,
112343,,111816,
112351,,111822,
112352,,111845,
112364,,111853,
112370,,111882,
112380,,111887,
112381,,111909,
112438,,111912,
112439,,111919,
112442,,111927,
112443,,111942,
112445,,111948,
112446,,111950,
112473,,111962,
112486,,111965,
112487,,111974,
112499,,111979,
112500,,111995,
112503,,112002,
112514,,112034,
112532,,112044,
112533,,112057,
112534,,112076,
112535,,112077,
112570,,112084,
112571,,112091,
112572,,112097,
112581,,112116,
112582,,112137,
112585,,112155,
112586,,112157,
112590,,112158,
112591,,112167,
112596,,112180,
112597,,112183,
112598,,112184,
112599,,112192,
112670,,112203,
112671,,112208,
112727,,112228,
112728,,112231,
112767,,112252,
112768,,112271,
112769,,112278,
112770,,112283,
112772,,112291,
112773,,112298,
112788,,112311,
112789,,112320,
112853,,112326,
112854,,112338,
112856,,112345,
112857,,112348,
112861,,112349,
112862,,112351,
112878,,112368,
112879,,112373,
112885,,112384,
112890,,112396,
112891,,112403,
112892,,112418,
112932,,112422,
112933,,112468,
112934,,112470,
112935,,112502,
112936,,112532,
112937,,112537,
112945,,112558,
112946,,112569,
112983,,112606,
112984,,112611,
113012,,112614,
113013,,112621,
113020,,112627,
113021,,112639,
113041,,112657,
113042,,112662,
113054,,112688,
113055,,112691,
113064,,112708,
113065,,112726,
113081,,112733,
113082,,112748,
113112,,112763,
113113,,112774,
113114,,112777,
113118,,112780,
113140,,112798,
113141,,112810,
113194,,112839,
113241,,112842,
113242,,112861,
113247,,112882,
113258,,112884,
113259,,112914,
113276,,112942,
113277,,112944,
113278,,112947,
113282,,112948,
113283,,112953,
113302,,112955,
113303,,112960,
113311,,112968,
113312,,112974,
113325,,112975,
113326,,112986,
113340,,112995,
113355,,113032,
113361,,113041,
113365,,113042,
113366,,113057,
113376,,113080,
113377,,113081,
113378,,113085,
113400,,113098,
113401,,113105,
113438,,113107,
113439,,113113,
113440,,113114,
113443,,113118,
113444,,113150,
113445,,113155,
113446,,113178,
113449,,113191,
113462,,113204,
113463,,113269,
113464,,113272,
113545,,113273,
113546,,113276,
113547,,113278,
113548,,113301,
113556,,113313,
113557,,113332,
113605,,113335,
113611,,113365,
113612,,113366,
113613,,113386,
113614,,113407,
113620,,113412,
113625,,113420,
113630,,113439,
113631,,113445,
113632,,113447,
113633,,113456,
113634,,113464,
113635,,113466,
113638,,113468,
113698,,113470,
113716,,113482,
113717,,113489,
113723,,113498,
113724,,113501,
113725,,113542,
113760,,113568,
113785,,113570,
113786,,113587,
113795,,113593,
113796,,113601,
113829,,113604,
113830,,113632,
113831,,113639,
113844,,113640,
113851,,113641,
113852,,113667,
113860,,113672,
113874,,113691,
113875,,113704,
113900,,113710,
113921,,113715,
113926,,113721,
113927,,113732,
113938,,113733,
113939,,113737,
113997,,113746,
113998,,113772,
114029,,113781,
114030,,113782,
114057,,113793,
114058,,113803,
114079,,113806,
114080,,113818,
114081,,113831,
114127,,113835,
114157,,113848,
114158,,113863,
114182,,113869,
114183,,113873,
114215,,113875,
114219,,113878,
114220,,113887,
114229,,113902,
114230,,113914,
114241,,113974,
114242,,113975,
114243,,113989,
114325,,113997,
114336,,114003,
114337,,114004,
114342,,114023,
114343,,114030,
114369,,114041,
114418,,114052,
114419,,114064,
114420,,114067,
114421,,114075,
114438,,114079,
114439,,114081,
114445,,114105,
114446,,114122,
114483,,114130,
114484,,114134,
114485,,114148,
114526,,114155,
114527,,114162,
114535,,114163,
114536,,114164,
114537,,114177,
114545,,114188,
114546,,114191,
114547,,114202,
114548,,114212,
114569,,114226,
114570,,114232,
114574,,114241,
114575,,114258,
114605,,114259,
114606,,114263,
114626,,114270,
114627,,114278,
114661,,114290,
114710,,114298,
114711,,114327,
114733,,114329,
114734,,114351,
114758,,114354,
114759,,114372,
114816,,114377,
114817,,114381,
114818,,114383,
114824,,114403,
114833,,114406,
114834,,114410,
114835,,114423,
114836,,114425,
114841,,114436,
114842,,114454,
114847,,114460,
114848,,114469,
114886,,114476,
114887,,114478,
114890,,114488,
114900,,114492,
114901,,114496,
114904,,114500,
114907,,114507,
114908,,114526,
114913,,114527,
114914,,114538,
114915,,114571,
114953,,114599,
114992,,114619,
114993,,114623,
114999,,114634,
115000,,114642,
115024,,114647,
115129,,114656,
115136,,114657,
115137,,114659,
115146,,114661,
115147,,114662,
115154,,114665,
115155,,114668,
115160,,114692,
115161,,114700,
115167,,114710,
115168,,114711,
115219,,114725,
115220,,114749,
115240,,114750,
115246,,114751,
115247,,114752,
115250,,114754,
115251,,114758,
115258,,114803,
115259,,114831,
115264,,114832,
115265,,114834,
115269,,114845,
115303,,114875,
115323,,114878,
115324,,114884,
115332,,114903,
115340,,114906,
115341,,114916,
115342,,114922,
115343,,114923,
115349,,114927,
115350,,114931,
115374,,114944,
115408,,114950,
115409,,114951,
115410,,114956,
115411,,114973,
115425,,114987,
115426,,114994,
115445,,115005,
115446,,115030,
115447,,115035,
115448,,115046,
115449,,115050,
115450,,115062,
115473,,115068,
115474,,115095,
115478,,115096,
115482,,115099,
115498,,115100,
115499,,115102,
115502,,115134,
115503,,115139,
115521,,115143,
115522,,115148,
115526,,115169,
115527,,115193,
115530,,115213,
115531,,115230,
115573,,115245,
115574,,115250,
115588,,115262,
115622,,115269,
115633,,115278,
115634,,115279,
115645,,115288,
115646,,115290,
115653,,115302,
115654,,115304,
115678,,115306,
115684,,115307,
115685,,115310,
115701,,115311,
115702,,115322,
115710,,115336,
115711,,115356,
115712,,115361,
115749,,115362,
115841,,115367,
115851,,115369,
115855,,115372,
115868,,115381,
115869,,115388,
115870,,115400,
115936,,115404,
115946,,115405,
115947,,115416,
115948,,115433,
115966,,115446,
115967,,115457,
116016,,115458,
116019,,115470,
116020,,115473,
116035,,115507,
116036,,115508,
116047,,115516,
116048,,115521,
116062,,115527,
116063,,115542,
116073,,115566,
116074,,115572,
116076,,115574,
116099,,115587,
116116,,115589,
116118,,115596,
116119,,115601,
116130,,115606,
116131,,115620,
116139,,115627,
116140,,115630,
116141,,115633,
116149,,115637,
116150,,115682,
116159,,115693,
116160,,115699,
116198,,115701,
116263,,115713,
116264,,115716,
116286,,115727,
116289,,115748,
116290,,115753,
116309,,115803,
116310,,115817,
116338,,115846,
116366,,115855,
116437,,115878,
116440,,115901,
116441,,115908,
116442,,115913,
116443,,115927,
116444,,115932,
116499,,115936,
116500,,115960,
116501,,115966,
116548,,115971,
116549,,115973,
116552,,115985,
116553,,116002,
116602,,116012,
116603,,116018,
116620,,116037,
116641,,116038,
116642,,116050,
116655,,116055,
116656,,116058,
116669,,116060,
116670,,116069,
116726,,116090,
116727,,116098,
116769,,116125,
116848,,116126,
116857,,116140,
116858,,116154,
116859,,116161,
116866,,116165,
116867,,116168,
116868,,116173,
116886,,116222,
116887,,116228,
116900,,116249,
116949,,116254,
116950,,116255,
116951,,116261,
116952,,116268,
116960,,116288,
116961,,116303,
116965,,116309,
116966,,116322,
116976,,116347,
116977,,116354,
116994,,116368,
116995,,116379,
117019,,116382,
117020,,116385,
117027,,116392,
117028,,116393,
117049,,116400,
117050,,116403,
117051,,116423,
117052,,116438,
117093,,116460,
117100,,116496,
117113,,116497,
117114,,116514,
117121,,116539,
117122,,116546,
117128,,116548,
117129,,116564,
117130,,116566,
117135,,116572,
117136,,116582,
117166,,116587,
117167,,116621,
117228,,116638,
117229,,116640,
117235,,116657,
117236,,116663,
117247,,116668,
117248,,116672,
117249,,116693,
117253,,116723,
117254,,116725,
117278,,116726,
117279,,116742,
117308,,116777,
117309,,116783,
117321,,116791,
117322,,116792,
117329,,116798,
117330,,116815,
117331,,116818,
117352,,116821,
117353,,116822,
117357,,116826,
117358,,116829,
117359,,116835,
117360,,116840,
117361,,116847,
117362,,116854,
117423,,116859,
117424,,116872,
117435,,116889,
117436,,116899,
117477,,116907,
117478,,116913,
117486,,116917,
117513,,116943,
117514,,116949,
117579,,116957,
117614,,116959,
117615,,116966,
117623,,116967,
117624,,116969,
117626,,116970,
117636,,116977,
117640,,116987,
117641,,117009,
117642,,117017,
117713,,117022,
117714,,117044,
117740,,117051,
117741,,117070,
117742,,117072,
117743,,117085,
117798,,117090,
117805,,117101,
117806,,117116,
117826,,117118,
117827,,117121,
117837,,117127,
117838,,117148,
117876,,117161,
117877,,117191,
117885,,117202,
117886,,117210,
117936,,117211,
117942,,117221,
117980,,117231,
117981,,117252,
117990,,117271,
117991,,117281,
118014,,117291,
118015,,117300,
118026,,117302,
118027,,117307,
118063,,117330,
118064,,117336,
118086,,117389,
118087,,117415,
118094,,117424,
118095,,117431,
118135,,117433,
118136,,117434,
118158,,117445,
118164,,117447,
118165,,117451,
118171,,117471,
118172,,117477,
118173,,117485,
118191,,117494,
118192,,117499,
118193,,117511,
118225,,117538,
118226,,117545,
118227,,117550,
118228,,117553,
118242,,117564,
118243,,117579,
118244,,117600,
118276,,117605,
118277,,117611,
118294,,117641,
118295,,117687,
118301,,117696,
118302,,117725,
118338,,117744,
118339,,117752,
118364,,117783,
118388,,117795,
118389,,117819,
118428,,117825,
118429,,117828,
118430,,117843,
118431,,117848,
118442,,117858,
118457,,117873,
118458,,117875,
118512,,117882,
118513,,117887,
118514,,117896,
118515,,117897,
118539,,117898,
118540,,117908,
118546,,117916,
118547,,117925,
118568,,117950,
118569,,117951,
118592,,117952,
118593,,117970,
118607,,117983,
118608,,118003,
118622,,118010,
118656,,118017,
118659,,118019,
118660,,118030,
118670,,118031,
118684,,118032,
118685,,118036,
118686,,118044,
118730,,118048,
118731,,118050,
118732,,118079,
118747,,118086,
118748,,118092,
118757,,118093,
118767,,118094,
118768,,118105,
118777,,118129,
118778,,118136,
118826,,118138,
118841,,118148,
118842,,118152,
118916,,118156,
118938,,118205,
118939,,118229,
118987,,118240,
118988,,118256,
119041,,118281,
119042,,118287,
119047,,118291,
119048,,118298,
119058,,118327,
119059,,118334,
119066,,118342,
119067,,118346,
119068,,118359,
119101,,118366,
119102,,118371,
119121,,118374,
119122,,118385,
119133,,118403,
119134,,118411,
119139,,118417,
119148,,118418,
119149,,118430,
119164,,118434,
119165,,118439,
119166,,118444,
119204,,118445,
119205,,118473,
119225,,118487,
119226,,118494,
119227,,118517,
119228,,118524,
119243,,118531,
119244,,118537,
119250,,118548,
119252,,118553,
119253,,118558,
119265,,118575,
119288,,118582,
119293,,118585,
119294,,118586,
119295,,118589,
119299,,118594,
119322,,118603,
119330,,118619,
119331,,118620,
119337,,118637,
119360,,118645,
119361,,118655,
119366,,118658,
119373,,118669,
119374,,118674,
119375,,118678,
119405,,118680,
119411,,118681,
119412,,118683,
119426,,118690,
119427,,118708,
119436,,118731,
119437,,118764,
119479,,118777,
119493,,118782,
119494,,118789,
119495,,118791,
119496,,118799,
119512,,118801,
119513,,118814,
119561,,118827,
119562,,118836,
119611,,118840,
119614,,118861,
119634,,118883,
119665,,118892,
119666,,118896,
119672,,118914,
119673,,118919,
119684,,118929,
119685,,118934,
119746,,118949,
119747,,118956,
119756,,118961,
119757,,119006,
119764,,119013,
119765,,119021,
119766,,119070,
119839,,119091,
119840,,119095,
119853,,119103,
119865,,119106,
119866,,119109,
119869,,119115,
119870,,119118,
119872,,119144,
119873,,119159,
119891,,119164,
119892,,119168,
119893,,119169,
119894,,119177,
119895,,119180,
119896,,119181,
119905,,119202,
119906,,119222,
119907,,119237,
119930,,119243,
119966,,119262,
119967,,119266,
119974,,119280,
119985,,119307,
119986,,119323,
119997,,119332,
119998,,119335,
120019,,119336,
120020,,119356,
120025,,119367,
120026,,119377,
120037,,119383,
120038,,119385,
120040,,119386,
120063,,119387,
120064,,119393,
120088,,119405,
120089,,119419,
120090,,119426,
120107,,119430,
120119,,119440,
120120,,119442,
120143,,119443,
120144,,119447,
120147,,119450,
120148,,119458,
120211,,119478,
120212,,119490,
120225,,119496,
120226,,119508,
120239,,119515,
120240,,119528,
120242,,119548,
120265,,119558,
120266,,119561,
120267,,119566,
120281,,119570,
120282,,119571,
120314,,119574,
120345,,119612,
120408,,119632,
120409,,119634,
120411,,119638,
120425,,119642,
120431,,119655,
120498,,119658,
120501,,119676,
120502,,119677,
120503,,119684,
120515,,119691,
120516,,119693,
120517,,119698,
120520,,119717,
120521,,119723,
120522,,119732,
120523,,119736,
120528,,119741,
120529,,119745,
120590,,119748,
120600,,119750,
120601,,119754,
120619,,119767,
120620,,119772,
120630,,119782,
120631,,119787,
120665,,119796,
120666,,119798,
120667,,119802,
120670,,119821,
120671,,119838,
120676,,119842,
120677,,119846,
120693,,119848,
120694,,119871,
120722,,119887,
120723,,119890,
120733,,119933,
120734,,119935,
120735,,119944,
120766,,119945,
120767,,119957,
120783,,119965,
120784,,119976,
120801,,119994,
120802,,119998,
120803,,120023,
120804,,120026,
120836,,120036,
120837,,120038,
120856,,120044,
120866,,120049,
120887,,120090,
120888,,120091,
120891,,120094,
120892,,120107,
120898,,120115,
120899,,120131,
120900,,120158,
120901,,120163,
120937,,120177,
120938,,120190,
120943,,120206,
120944,,120217,
120945,,120219,
120946,,120224,
120949,,120236,
120950,,120241,
120951,,120244,
120970,,120247,
120971,,120272,
120983,,120288,
120984,,120294,
120990,,120299,
120991,,120300,
121041,,120303,
121042,,120304,
121053,,120316,
121054,,120324,
121059,,120333,
121060,,120339,
121061,,120343,
121062,,120349,
121063,,120353,
121064,,120356,
121065,,120360,
121066,,120382,
121067,,120383,
121074,,120387,
121075,,120392,
121139,,120399,
121151,,120428,
121152,,120430,
121163,,120437,
121172,,120438,
121196,,120440,
121211,,120441,
121215,,120443,
121216,,120462,
121246,,120464,
121262,,120475,
121263,,120500,
121275,,120505,
121276,,120510,
121277,,120516,
121305,,120520,
121339,,120530,
121340,,120541,
121341,,120546,
121346,,120580,
121364,,120594,
121365,,120600,
121393,,120611,
121394,,120614,
121396,,120620,
121397,,120623,
121398,,120644,
121399,,120648,
121422,,120650,
121423,,120652,
121424,,120665,
121441,,120672,
121442,,120687,
121443,,120691,
121476,,120713,
121477,,120719,
121478,,120736,
121508,,120744,
121509,,120755,
121516,,120759,
121517,,120781,
121556,,120782,
121557,,120798,
121558,,120812,
121579,,120851,
121580,,120869,
121591,,120885,
121592,,120887,
121593,,120905,
121633,,120928,
121634,,120949,
121637,,120962,
121638,,120980,
121703,,120987,
121704,,120994,
121711,,121028,
121712,,121038,
121728,,121069,
121729,,121082,
121730,,121094,
121731,,121101,
121780,,121103,
121781,,121112,
121788,,121117,
121789,,121122,
121790,,121129,
121818,,121133,
121819,,121134,
121823,,121137,
121824,,121143,
121827,,121148,
121833,,121188,
121843,,121193,
121849,,121203,
121863,,121241,
121882,,121247,
121892,,121257,
121893,,121272,
121913,,121279,
121914,,121281,
121920,,121298,
121961,,121300,
121996,,121327,
121997,,121329,
121998,,121335,
121999,,121348,
122009,,121371,
122010,,121382,
122011,,121393,
122012,,121399,
122049,,121433,
122050,,121434,
122051,,121438,
122077,,121443,
122078,,121449,
122079,,121453,
122084,,121472,
122085,,121476,
122112,,121483,
122126,,121490,
122127,,121497,
122139,,121520,
122140,,121535,
122157,,121574,
122158,,121577,
122220,,121585,
122221,,121606,
122264,,121632,
122265,,121637,
122271,,121654,
122294,,121659,
122295,,121672,
122296,,121674,
122317,,121689,
122318,,121705,
122322,,121713,
122323,,121720,
122352,,121731,
122353,,121760,
122377,,121762,
122378,,121769,
122379,,121774,
122381,,121784,
122382,,121787,
122391,,121795,
122408,,121807,
122409,,121840,
122432,,121849,
122451,,121861,
122454,,121865,
122455,,121888,
122469,,121892,
122479,,121921,
122480,,121923,
122489,,121929,
122490,,121933,
122491,,121942,
122492,,121944,
122503,,121947,
122532,,121949,
122533,,121956,
122552,,121962,
122567,,121967,
122568,,121970,
122592,,121984,
122607,,121994,
122608,,122004,
122611,,122009,
122612,,122021,
122652,,122037,
122653,,122039,
122665,,122059,
122666,,122071,
122667,,122090,
122671,,122091,
122684,,122114,
122685,,122123,
122686,,122138,
122703,,122144,
122704,,122161,
122736,,122162,
122758,,122165,
122759,,122166,
122763,,122168,
122764,,122180,
122769,,122181,
122770,,122183,
122771,,122188,
122795,,122219,
122801,,122226,
122802,,122227,
122803,,122240,
122830,,122242,
122831,,122251,
122856,,122254,
122857,,122255,
122869,,122259,
122870,,122263,
122875,,122284,
122876,,122288,
122879,,122293,
122884,,122299,
122885,,122300,
122886,,122302,
122911,,122303,
122932,,122305,
122933,,122307,
122959,,122310,
122960,,122320,
122982,,122328,
122983,,122334,
122994,,122364,
122995,,122381,
123017,,122385,
123018,,122389,
123021,,122391,
123022,,122401,
123033,,122404,
123034,,122405,
123036,,122406,
123038,,122411,
123039,,122413,
123040,,122417,
123061,,122421,
123064,,122429,
123065,,122430,
123084,,122437,
123085,,122444,
123105,,122452,
123106,,122460,
123142,,122461,
123143,,122479,
123144,,122497,
123145,,122498,
123146,,122499,
123180,,122505,
123181,,122509,
123198,,122529,
123199,,122545,
123200,,122551,
123201,,122562,
123282,,122572,
123283,,122573,
123284,,122581,
123285,,122591,
123286,,122596,
123293,,122602,
123315,,122614,
123374,,122615,
123375,,122617,
123389,,122624,
123398,,122628,
123399,,122631,
123409,,122646,
123410,,122657,
123424,,122670,
123431,,122679,
123432,,122699,
123458,,122703,
123459,,122730,
123489,,122732,
123490,,122734,
123493,,122747,
123494,,122749,
123495,,122757,
123496,,122763,
123497,,122766,
123498,,122775,
123499,,122786,
123500,,122789,
123501,,122810,
123505,,122812,
123506,,122830,
123554,,122831,
123570,,122834,
123571,,122835,
123586,,122836,
123587,,122869,
123588,,122870,
123589,,122882,
123593,,122902,
123594,,122908,
123608,,122923,
123609,,122930,
123617,,122931,
123618,,122959,
123627,,122961,
123628,,122997,
123684,,123000,
123685,,123003,
123716,,123004,
123717,,123012,
123719,,123028,
123720,,123082,
123721,,123092,
123729,,123115,
123730,,123117,
123749,,123121,
123750,,123129,
123751,,123136,
123832,,123164,
123874,,123166,
123875,,123181,
123876,,123192,
123877,,123201,
123878,,123202,
123879,,123204,
123880,,123205,
123885,,123211,
123901,,123220,
123912,,123234,
123913,,123242,
123918,,123244,
123919,,123252,
123928,,123284,
123929,,123291,
123945,,123295,
123952,,123298,
123953,,123313,
123970,,123327,
123971,,123346,
124006,,123395,
124007,,123408,
124008,,123418,
124009,,123421,
124010,,123436,
124011,,123445,
124019,,123451,
124030,,123468,
124031,,123497,
124032,,123510,
124033,,123513,
124034,,123522,
124035,,123536,
124038,,123554,
124039,,123576,
124040,,123582,
124045,,123618,
124055,,123622,
124062,,123644,
124063,,123646,
124070,,123652,
124109,,123680,
124113,,123684,
124119,,123709,
124127,,123724,
124128,,123737,
124180,,123748,
124181,,123769,
124197,,123787,
124198,,123799,
124279,,123813,
124308,,123822,
124309,,123827,
124318,,123832,
124319,,123833,
124336,,123852,
124337,,123865,
124338,,123878,
124339,,123899,
124346,,123916,
124347,,123927,
124348,,123930,
124373,,123945,
124374,,123952,
124385,,123956,
124386,,123959,
124406,,123962,
124407,,123971,
124408,,123975,
124418,,123978,
124451,,123981,
124452,,123986,
124460,,123992,
124461,,123997,
124473,,124000,
124488,,124002,
124505,,124004,
124506,,124024,
124509,,124029,
124570,,124036,
124584,,124048,
124585,,124050,
124619,,124059,
124630,,124062,
124660,,124066,
124684,,124105,
124699,,124106,
124700,,124110,
124718,,124128,
124719,,124137,
124739,,124148,
124766,,124150,
124788,,124160,
124789,,124164,
124790,,124187,
124791,,124191,
124792,,124210,
124795,,124231,
124796,,124238,
124797,,124256,
124845,,124287,
124848,,124291,
124849,,124304,
124850,,124307,
124884,,124315,
124885,,124324,
124886,,124326,
124887,,124333,
124932,,124336,
124933,,124340,
124934,,124373,
124948,,124376,
124961,,124381,
124962,,124384,
124985,,124391,
124986,,124404,
124991,,124429,
125023,,124440,
125039,,124444,
125044,,124456,
125054,,124466,
125055,,124474,
125062,,124476,
125063,,124499,
125064,,124501,
125069,,124503,
125088,,124504,
125089,,124530,
125090,,124551,
125123,,124569,
125133,,124584,
125134,,124588,
125137,,124597,
125138,,124633,
125150,,124634,
125151,,124646,
125154,,124654,
125155,,124671,
125156,,124673,
125157,,124679,
125160,,124682,
125161,,124704,
125197,,124708,
125210,,124710,
125211,,124718,
125216,,124722,
125229,,124729,
125230,,124734,
125231,,124746,
125232,,124747,
125276,,124761,
125305,,124770,
125312,,124790,
125313,,124796,
125314,,124797,
125315,,124799,
125402,,124805,
125403,,124820,
125404,,124824,
125422,,124827,
125423,,124836,
125424,,124850,
125479,,124872,
125499,,124878,
125500,,124882,
125516,,124887,
125517,,124888,
125518,,124900,
125563,,124914,
125564,,124932,
125573,,124936,
125614,,124941,
125644,,124973,
125662,,125007,
125663,,125021,
125679,,125034,
125751,,125042,
125752,,125048,
125753,,125049,
125756,,125052,
125757,,125072,
125758,,125096,
125764,,125113,
125765,,125120,
125783,,125127,
125784,,125131,
125785,,125148,
125786,,125155,
125790,,125157,
125791,,125167,
125800,,125181,
125814,,125190,
125825,,125214,
125850,,125224,
125851,,125233,
125872,,125245,
125873,,125250,
125890,,125253,
125891,,125255,
125944,,125262,
125945,,125281,
125953,,125283,
125954,,125287,
125962,,125292,
125967,,125295,
125983,,125297,
125984,,125302,
126013,,125319,
126014,,125320,
126032,,125321,
126033,,125326,
126051,,125341,
126052,,125343,
126094,,125355,
126095,,125361,
126112,,125399,
126126,,125401,
126127,,125406,
126132,,125413,
126133,,125420,
126193,,125427,
126262,,125433,
126266,,125451,
126269,,125465,
126281,,125467,
126282,,125470,
126288,,125477,
126289,,125506,
126332,,125524,
126333,,125534,
126337,,125539,
126346,,125540,
126347,,125567,
126363,,125574,
126364,,125575,
126374,,125582,
126388,,125586,
126405,,125596,
126406,,125604,
126421,,125607,
126422,,125621,
126429,,125624,
126448,,125634,
126488,,125643,
126489,,125648,
126490,,125658,
126491,,125659,
126501,,125667,
126502,,125727,
126503,,125748,
126504,,125755,
126507,,125762,
126510,,125763,
126511,,125766,
126515,,125770,
126518,,125784,
126519,,125794,
126529,,125803,
126554,,125804,
126555,,125811,
126590,,125818,
126619,,125820,
126674,,125828,
126675,,125843,
126676,,125845,
126677,,125897,
126701,,125900,
126702,,125923,
126706,,125930,
126718,,125945,
126728,,125948,
126729,,125953,
126730,,125962,
126733,,125964,
126754,,125965,
126755,,125982,
126847,,125992,
126893,,125997,
126908,,126004,
126921,,126008,
126924,,126015,
126929,,126019,
126930,,126023,
126931,,126025,
126932,,126028,
126984,,126033,
126985,,126040,
126986,,126041,
127001,,126043,
127002,,126067,
127010,,126076,
127011,,126078,
127028,,126086,
127029,,126100,
127046,,126117,
127060,,126133,
127061,,126139,
127062,,126146,
127122,,126154,
127138,,126159,
127158,,126163,
127166,,126166,
127167,,126169,
127185,,126172,
127186,,126175,
127187,,126197,
127215,,126205,
127238,,126215,
127239,,126236,
127257,,126239,
127258,,126245,
127259,,126263,
127279,,126279,
127280,,126289,
127316,,126300,
127317,,126306,
127321,,126310,
127322,,126323,
127348,,126335,
127349,,126339,
127367,,126340,
127376,,126346,
127377,,126362,
127406,,126388,
127421,,126395,
127422,,126400,
127431,,126408,
127439,,126416,
127440,,126425,
127441,,126450,
127452,,126463,
127453,,126466,
127475,,126469,
127476,,126483,
127524,,126517,
127525,,126538,
127527,,126554,
127532,,126566,
127533,,126573,
127541,,126575,
127542,,126576,
127543,,126579,
127546,,126580,
127559,,126583,
127560,,126595,
127576,,126596,
127602,,126608,
127631,,126611,
127632,,126638,
127635,,126652,
127638,,126659,
127647,,126670,
127648,,126680,
127666,,126703,
127667,,126704,
127697,,126714,
127698,,126733,
127699,,126741,
127779,,126743,
127780,,126751,
127796,,126755,
127797,,126770,
127801,,126778,
127803,,126780,
127804,,126798,
127842,,126814,
127845,,126821,
127851,,126835,
127852,,126847,
127853,,126850,
127854,,126852,
127867,,126866,
127868,,126888,
127926,,126906,
127927,,126909,
127943,,126914,
127944,,126922,
127945,,126924,
127946,,126936,
127947,,126940,
127948,,126950,
127958,,126956,
127959,,126958,
127969,,126960,
127975,,126961,
127976,,126991,
128022,,126994,
128031,,127008,
128032,,127013,
128053,,127014,
128054,,127015,
128062,,127042,
128063,,127058,
128101,,127060,
128102,,127065,
128112,,127087,
128113,,127103,
128119,,127143,
128156,,127150,
128157,,127162,
128173,,127164,
128174,,127171,
128188,,127174,
128248,,127179,
128265,,127204,
128283,,127213,
128284,,127231,
128318,,127240,
128319,,127242,
128327,,127251,
128388,,127259,
128389,,127300,
128390,,127306,
128391,,127314,
128410,,127342,
128411,,127358,
128417,,127364,
128418,,127373,
128430,,127382,
128431,,127384,
128432,,127390,
128433,,127394,
128580,,127402,
128583,,127410,
128584,,127424,
128599,,127430,
128602,,127436,
128603,,127451,
128604,,127453,
128605,,127459,
128640,,127465,
128641,,127487,
128642,,127489,
128653,,127498,
128654,,127503,
128655,,127508,
128664,,127509,
128665,,127511,
128673,,127514,
128674,,127522,
128678,,127527,
128679,,127529,
128682,,127532,
128683,,127536,
128684,,127542,
128702,,127546,
128707,,127561,
128729,,127576,
128730,,127590,
128772,,127604,
128773,,127631,
128786,,127633,
128787,,127635,
128788,,127647,
128799,,127654,
128800,,127691,
128801,,127705,
128802,,127713,
128813,,127717,
128814,,127731,
128832,,127737,
128833,,127739,
128844,,127743,
128845,,127774,
128846,,127781,
128849,,127783,
128856,,127786,
128857,,127799,
128868,,127805,
128869,,127812,
128885,,127832,
128890,,127834,
128912,,127839,
128913,,127877,
128943,,127879,
128944,,127883,
128945,,127894,
128946,,127897,
128947,,127898,
128948,,127901,
128966,,127902,
128967,,127904,
128968,,127920,
129020,,127927,
129021,,127934,
129022,,127945,
129036,,127956,
129048,,127960,
129049,,127964,
129097,,127980,
129153,,127987,
129181,,127994,
129182,,128003,
129200,,128005,
129201,,128006,
129209,,128008,
129210,,128010,
129219,,128024,
129279,,128039,
129280,,128047,
129281,,128056,
129348,,128062,
129349,,128092,
129353,,128095,
129354,,128099,
129355,,128118,
129373,,128128,
129374,,128132,
129382,,128151,
129383,,128162,
129420,,128168,
129435,,128170,
129436,,128171,
129446,,128185,
129447,,128189,
129448,,128214,
129470,,128219,
129471,,128225,
129480,,128228,
129481,,128236,
129487,,128237,
129488,,128240,
129495,,128256,
129543,,128284,
129547,,128291,
129553,,128294,
129554,,128297,
129555,,128298,
129556,,128309,
129626,,128322,
129627,,128332,
129680,,128341,
129681,,128355,
129685,,128374,
129686,,128383,
129687,,128385,
129693,,128399,
129719,,128403,
129732,,128429,
